participant_id,block_number,difficulty,trial_number,target_id,target_index,target_width,target_distance,target_center_x,target_center_y,trial_start,trial_end,movement_time_s,misses_before_success
p1,1,Medium,1,p1-block-1-trial-1-target-1,1,60,400,861,309,1785569691.71513,1785569692.892069,1.176963292004075,0
p1,1,Medium,2,p1-block-1-trial-2-target-5,5,60,400,579,591,1785569692.89233,1785569693.686628,0.7943200419831555,0
p1,1,Medium,3,p1-block-1-trial-3-target-1,1,60,400,861,309,1785569693.686945,1785569694.300849,0.6139162089966703,0
p1,1,Medium,4,p1-block-1-trial-4-target-5,5,60,400,579,591,1785569694.300995,1785569695.260885,0.959909917000914,0
p1,1,Medium,5,p1-block-1-trial-5-target-1,1,60,400,861,309,1785569695.261257,1785569696.110445,0.8492072500230279,0
p1,1,Medium,6,p1-block-1-trial-6-target-5,5,60,400,579,591,1785569696.110794,1785569696.929213,0.8184392090188339,0
p1,1,Medium,7,p1-block-1-trial-7-target-1,1,60,400,861,309,1785569696.929537,1785569698.0825632,1.1530503340181895,1
p1,1,Medium,8,p1-block-1-trial-8-target-5,5,60,400,579,591,1785569698.082869,1785569698.870361,0.7875132499902975,0
p1,1,Medium,9,p1-block-1-trial-9-target-1,1,60,400,861,309,1785569698.870728,1785569699.904796,1.0340893329994287,0
p1,1,Medium,10,p1-block-1-trial-10-target-5,5,60,400,579,591,1785569699.905083,1785569700.9261491,1.021089000016218,0
p1,1,Medium,11,p1-block-1-trial-11-target-1,1,60,400,861,309,1785569700.92645,1785569701.714346,0.7879139159922488,0
p1,1,Medium,12,p1-block-1-trial-12-target-5,5,60,400,579,591,1785569701.714564,1785569702.4696891,0.755143374990439,0
p1,1,Medium,13,p1-block-1-trial-13-target-1,1,60,400,861,309,1785569702.469986,1785569703.349108,0.879142249992583,0
p1,1,Medium,14,p1-block-1-trial-14-target-5,5,60,400,579,591,1785569703.349431,1785569704.058839,0.7094230829970911,0
p1,1,Medium,15,p1-block-1-trial-15-target-1,1,60,400,861,309,1785569704.059062,1785569704.734976,0.6759306250023656,0
p1,1,Medium,16,p1-block-1-trial-16-target-5,5,60,400,579,591,1785569704.7352,1785569705.53717,0.8019882079970557,0
p1,2,Easy,1,p1-block-2-trial-1-target-6,6,75,300,570,450,1785569705.537845,1785569706.603065,1.0652436669915915,0
p1,2,Easy,2,p1-block-2-trial-2-target-2,2,75,300,870,450,1785569706.603489,1785569707.3738182,0.7703463330108207,0
p1,2,Easy,3,p1-block-2-trial-3-target-6,6,75,300,570,450,1785569707.373972,1785569707.9165142,0.5425557919952553,0
p1,2,Easy,4,p1-block-2-trial-4-target-2,2,75,300,870,450,1785569707.916767,1785569708.590143,0.6733918749960139,0
p1,2,Easy,5,p1-block-2-trial-5-target-6,6,75,300,570,450,1785569708.590401,1785569709.360797,0.7704138749977574,0
p1,2,Easy,6,p1-block-2-trial-6-target-2,2,75,300,870,450,1785569709.3610072,1785569709.9998562,0.6388632080052048,0
p1,2,Easy,7,p1-block-2-trial-7-target-6,6,75,300,570,450,1785569709.999926,1785569710.669098,0.6691890840011183,0
p1,2,Easy,8,p1-block-2-trial-8-target-2,2,75,300,870,450,1785569710.669408,1785569711.599479,0.9300936249783263,0
p1,2,Easy,9,p1-block-2-trial-9-target-6,6,75,300,570,450,1785569711.599782,1785569712.160341,0.5605727920192294,0
p1,2,Easy,10,p1-block-2-trial-10-target-2,2,75,300,870,450,1785569712.160713,1785569712.852138,0.6914409999735653,0
p1,2,Easy,11,p1-block-2-trial-11-target-6,6,75,300,570,450,1785569712.852523,1785569713.503463,0.6509561669954564,0
p1,2,Easy,12,p1-block-2-trial-12-target-2,2,75,300,870,450,1785569713.503745,1785569714.214964,0.7112367090012413,0
p1,2,Easy,13,p1-block-2-trial-13-target-6,6,75,300,570,450,1785569714.215241,1785569714.889926,0.6747016250155866,0
p1,2,Easy,14,p1-block-2-trial-14-target-2,2,75,300,870,450,1785569714.890283,1785569715.558701,0.6684340829961002,0
p1,2,Easy,15,p1-block-2-trial-15-target-6,6,75,300,570,450,1785569715.558964,1785569716.172439,0.6134899589815177,0
p1,2,Easy,16,p1-block-2-trial-16-target-2,2,75,300,870,450,1785569716.17269,1785569717.442297,1.2696370839839801,1
p1,3,Hard,1,p1-block-3-trial-1-target-7,7,45,500,543,273,1785569717.442723,1785569718.925038,1.4823497500037774,1
p1,3,Hard,2,p1-block-3-trial-2-target-3,3,45,500,897,627,1785569718.925347,1785569719.750956,0.8256291659781709,0
p1,3,Hard,3,p1-block-3-trial-3-target-7,7,45,500,543,273,1785569719.7512262,1785569720.7787032,1.0275025000155438,0
p1,3,Hard,4,p1-block-3-trial-4-target-3,3,45,500,897,627,1785569720.779019,1785569721.6165152,0.8375196249980945,0
p1,3,Hard,5,p1-block-3-trial-5-target-7,7,45,500,543,273,1785569721.6167948,1785569722.600721,0.9839503340190277,0
p1,3,Hard,6,p1-block-3-trial-6-target-3,3,45,500,897,627,1785569722.601057,1785569723.40305,0.8020124169997871,0
p1,3,Hard,7,p1-block-3-trial-7-target-7,7,45,500,543,273,1785569723.40339,1785569724.4525309,1.049165666976478,0
p1,3,Hard,8,p1-block-3-trial-8-target-3,3,45,500,897,627,1785569724.455571,1785569725.2173162,0.7617628329899162,0
p1,3,Hard,9,p1-block-3-trial-9-target-7,7,45,500,543,273,1785569725.21767,1785569727.482782,2.2651644159923308,1
p1,3,Hard,10,p1-block-3-trial-10-target-3,3,45,500,897,627,1785569727.483079,1785569728.3508558,0.8677981670189183,0
p1,3,Hard,11,p1-block-3-trial-11-target-7,7,45,500,543,273,1785569728.351061,1785569729.191228,0.8401864169863984,0
