participant_id,block_number,difficulty,trial_number,target_id,target_index,target_width,target_distance,target_center_x,target_center_y,trial_start,trial_end,movement_time_s,misses_before_success
p1,1,Medium,1,p1-block-1-trial-1-target-3,3,60,400,861,591,1785569405.9988322,1785569408.00944,2.0106592919910327,0
p1,1,Medium,2,p1-block-1-trial-2-target-7,7,60,400,579,309,1785569408.009703,1785569409.141144,1.1314706669945735,0
p1,1,Medium,3,p1-block-1-trial-3-target-3,3,60,400,861,591,1785569409.141354,1785569410.458285,1.3169682080042548,0
p1,1,Medium,4,p1-block-1-trial-4-target-7,7,60,400,579,309,1785569410.458415,1785569411.388752,0.9303609170019627,0
p1,1,Medium,5,p1-block-1-trial-5-target-3,3,60,400,861,591,1785569411.3890991,1785569412.184913,0.795835791999707,0
p1,1,Medium,6,p1-block-1-trial-6-target-7,7,60,400,579,309,1785569412.185118,1785569413.0106618,0.8255657079862431,0
p1,1,Medium,7,p1-block-1-trial-7-target-3,3,60,400,861,591,1785569413.010816,1785569413.736586,0.7257892919878941,0
p1,1,Medium,8,p1-block-1-trial-8-target-7,7,60,400,579,309,1785569413.7367911,1785569414.869956,1.1331954580091406,0
p1,1,Medium,9,p1-block-1-trial-9-target-3,3,60,400,861,591,1785569414.870181,1785569416.017306,1.1471548330155201,0
p1,1,Medium,10,p1-block-1-trial-10-target-7,7,60,400,579,309,1785569416.017477,1785569417.3081,1.290656917000888,0
p1,1,Medium,11,p1-block-1-trial-11-target-3,3,60,400,861,591,1785569417.308319,1785569418.6269388,1.3186551670078188,0
p1,1,Medium,12,p1-block-1-trial-12-target-7,7,60,400,579,309,1785569418.627073,1785569419.672118,1.045074374997057,0
p1,1,Medium,13,p1-block-1-trial-13-target-3,3,60,400,861,591,1785569419.672331,1785569420.4645581,0.7922494169906713,0
p1,1,Medium,14,p1-block-1-trial-14-target-7,7,60,400,579,309,1785569420.464751,1785569421.311797,0.8470690000103787,0
p1,1,Medium,15,p1-block-1-trial-15-target-3,3,60,400,861,591,1785569421.311903,1785569422.1774158,0.8655372080102097,0
p1,1,Medium,16,p1-block-1-trial-16-target-7,7,60,400,579,309,1785569422.17762,1785569423.586544,1.4089617500139866,0
p1,2,Hard,1,p1-block-2-trial-1-target-1,1,45,500,897,273,1785569423.586941,1785569424.8897228,1.3028182499983814,0
p1,2,Hard,2,p1-block-2-trial-2-target-5,5,45,500,543,627,1785569424.889974,1785569426.201528,1.3115872089983895,0
p1,2,Hard,3,p1-block-2-trial-3-target-1,1,45,500,897,273,1785569426.2019598,1785569427.2444952,1.042563875002088,0
p1,2,Hard,4,p1-block-2-trial-4-target-5,5,45,500,543,627,1785569427.2447202,1785569428.27054,1.0258473330177367,0
p1,2,Hard,5,p1-block-2-trial-5-target-1,1,45,500,897,273,1785569428.2706702,1785569429.314154,1.0435117089946289,0
p1,2,Hard,6,p1-block-2-trial-6-target-5,5,45,500,543,627,1785569429.314307,1785569430.2674618,0.9531805000151508,0
p1,2,Hard,7,p1-block-2-trial-7-target-1,1,45,500,897,273,1785569430.267643,1785569431.1442502,0.8766307499899995,0
p1,2,Hard,8,p1-block-2-trial-8-target-5,5,45,500,543,627,1785569431.1444201,1785569431.926212,0.7818140829913318,0
p1,2,Hard,9,p1-block-2-trial-9-target-1,1,45,500,897,273,1785569431.926389,1785569432.7119281,0.7855612919956911,0
p1,2,Hard,10,p1-block-2-trial-10-target-5,5,45,500,543,627,1785569432.712109,1785569433.6280289,0.9159438339993358,0
p1,2,Hard,11,p1-block-2-trial-11-target-1,1,45,500,897,273,1785569433.628196,1785569434.431985,0.8038103749859147,0
p1,2,Hard,12,p1-block-2-trial-12-target-5,5,45,500,543,627,1785569434.432283,1785569435.2479281,0.8156683330016676,0
p1,2,Hard,13,p1-block-2-trial-13-target-1,1,45,500,897,273,1785569435.248134,1785569436.795037,1.546944292000262,1
p1,2,Hard,14,p1-block-2-trial-14-target-5,5,45,500,543,627,1785569436.79527,1785569438.007112,1.2118745420011692,0
p1,2,Hard,15,p1-block-2-trial-15-target-1,1,45,500,897,273,1785569438.007329,1785569439.043963,1.036663208011305,0
p1,2,Hard,16,p1-block-2-trial-16-target-5,5,45,500,543,627,1785569439.044276,1785569440.210731,1.1664842079917435,0
p1,3,Easy,1,p1-block-3-trial-1-target-3,3,75,300,826,556,1785569440.2109609,1785569441.2160928,1.0051572090014815,0
p1,3,Easy,2,p1-block-3-trial-2-target-7,7,75,300,614,344,1785569441.216379,1785569441.967446,0.7510879999899771,0
p1,3,Easy,3,p1-block-3-trial-3-target-3,3,75,300,826,556,1785569441.9676,1785569442.636162,0.6685799999977462,0
p1,3,Easy,4,p1-block-3-trial-4-target-7,7,75,300,614,344,1785569442.6363058,1785569443.42897,0.7926861250016373,0
p1,3,Easy,5,p1-block-3-trial-5-target-3,3,75,300,826,556,1785569443.4291682,1785569444.0474958,0.6183449579984881,0
p1,3,Easy,6,p1-block-3-trial-6-target-7,7,75,300,614,344,1785569444.047692,1785569444.779145,0.7314723750168923,0
p1,3,Easy,7,p1-block-3-trial-7-target-3,3,75,300,826,556,1785569444.779309,1785569445.417299,0.6380079170048703,0
p1,3,Easy,8,p1-block-3-trial-8-target-7,7,75,300,614,344,1785569445.4175072,1785569446.0994492,0.6819614160049241,0
p1,3,Easy,9,p1-block-3-trial-9-target-3,3,75,300,826,556,1785569446.09963,1785569447.329731,1.2301338329853024,0
p1,3,Easy,10,p1-block-3-trial-10-target-7,7,75,300,614,344,1785569447.329927,1785569448.261176,0.9312741670000833,0
p1,3,Easy,11,p1-block-3-trial-11-target-3,3,75,300,826,556,1785569448.261363,1785569448.9272268,0.6658822079771198,0
p1,3,Easy,12,p1-block-3-trial-12-target-7,7,75,300,614,344,1785569448.927456,1785569449.872318,0.9448878749972209,0
p1,3,Easy,13,p1-block-3-trial-13-target-3,3,75,300,826,556,1785569449.8725219,1785569451.499578,1.627098750002915,1
p1,3,Easy,14,p1-block-3-trial-14-target-7,7,75,300,614,344,1785569451.4998882,1785569452.2574668,0.7576016249950044,0
p1,3,Easy,15,p1-block-3-trial-15-target-3,3,75,300,826,556,1785569452.257708,1785569453.030453,0.7727656660135835,0
p1,3,Easy,16,p1-block-3-trial-16-target-7,7,75,300,614,344,1785569453.030611,1785569453.981683,0.9510982909996528,0
p02,1,Medium,1,p02-block-1-trial-1-target-0,0,60,400,720,250,1785574728.226741,1785574729.918088,1.6911536660045385,0
p02,1,Medium,2,p02-block-1-trial-2-target-4,4,60,400,720,650,1785574729.918368,1785574731.035017,1.1166669579979498,0
p02,1,Medium,3,p02-block-1-trial-3-target-0,0,60,400,720,250,1785574731.0352662,1785574731.95213,0.9168774170102552,0
p02,1,Medium,4,p02-block-1-trial-4-target-4,4,60,400,720,650,1785574731.9523132,1785574733.601536,1.6492477919964585,0
