participant_id,block_number,difficulty,trial_number,target_id,target_index,target_width,target_distance,target_center_x,target_center_y,trial_start,trial_end,movement_time_s,misses_before_success
mac_trackpad,1,Easy,1,mac_trackpad-block-1-trial-1-target-2,2,75,300,870,450,1786105987.441526,1786105988.62272,1.1812184160226025,0
mac_trackpad,1,Easy,2,mac_trackpad-block-1-trial-2-target-6,6,75,300,570,450,1786105988.623161,1786105989.3219829,0.698833292000927,0
mac_trackpad,1,Easy,3,mac_trackpad-block-1-trial-3-target-2,2,75,300,870,450,1786105989.3223581,1786105989.971781,0.6494411659659818,0
mac_trackpad,1,Easy,4,mac_trackpad-block-1-trial-4-target-6,6,75,300,570,450,1786105989.9720252,1786105990.7893271,0.8173193330294453,0
mac_trackpad,1,Easy,5,mac_trackpad-block-1-trial-5-target-2,2,75,300,870,450,1786105990.789622,1786105991.3219142,0.5323043750249781,0
mac_trackpad,1,Easy,6,mac_trackpad-block-1-trial-6-target-6,6,75,300,570,450,1786105991.322248,1786105991.98805,0.6658177920035087,0
mac_trackpad,1,Easy,7,mac_trackpad-block-1-trial-7-target-2,2,75,300,870,450,1786105991.988302,1786105992.688745,0.700463209010195,0
mac_trackpad,1,Easy,8,mac_trackpad-block-1-trial-8-target-6,6,75,300,570,450,1786105992.689034,1786105993.40574,0.7167228339822032,0
mac_trackpad,1,Easy,9,mac_trackpad-block-1-trial-9-target-2,2,75,300,870,450,1786105993.406107,1786105994.238088,0.831999416986946,0
mac_trackpad,1,Easy,10,mac_trackpad-block-1-trial-10-target-6,6,75,300,570,450,1786105994.238369,1786105995.204551,0.9662038340466097,0
mac_trackpad,1,Easy,11,mac_trackpad-block-1-trial-11-target-2,2,75,300,870,450,1786105995.204779,1786105995.7548952,0.5501291660475545,0
mac_trackpad,1,Easy,12,mac_trackpad-block-1-trial-12-target-6,6,75,300,570,450,1786105995.755171,1786105996.556353,0.8012002079631202,0
mac_trackpad,1,Easy,13,mac_trackpad-block-1-trial-13-target-2,2,75,300,870,450,1786105996.556649,1786105997.121401,0.564765291986987,0
mac_trackpad,1,Easy,14,mac_trackpad-block-1-trial-14-target-6,6,75,300,570,450,1786105997.121687,1786105997.855503,0.7338330000056885,0
mac_trackpad,1,Easy,15,mac_trackpad-block-1-trial-15-target-2,2,75,300,870,450,1786105997.8557792,1786105998.9712121,1.115457333973609,1
mac_trackpad,1,Easy,16,mac_trackpad-block-1-trial-16-target-6,6,75,300,570,450,1786105998.971311,1786106000.056009,1.0847218750277534,0
mac_trackpad,2,Hard,1,mac_trackpad-block-2-trial-1-target-6,6,45,500,470,450,1786106000.0561762,1786106000.97112,0.9149637920199893,0
mac_trackpad,2,Hard,2,mac_trackpad-block-2-trial-2-target-2,2,45,500,970,450,1786106000.971286,1786106001.787882,0.8166136660147458,0
mac_trackpad,2,Hard,3,mac_trackpad-block-2-trial-3-target-6,6,45,500,470,450,1786106001.788036,1786106003.6217248,1.8337277920218185,1
mac_trackpad,2,Hard,4,mac_trackpad-block-2-trial-4-target-2,2,45,500,970,450,1786106003.621921,1786106004.904531,1.2826365829678252,0
mac_trackpad,2,Hard,5,mac_trackpad-block-2-trial-5-target-6,6,45,500,470,450,1786106004.904686,1786106005.721334,0.8166653749649413,0
mac_trackpad,2,Hard,6,mac_trackpad-block-2-trial-6-target-2,2,45,500,970,450,1786106005.721493,1786106006.67121,0.9497374590137042,0
mac_trackpad,2,Hard,7,mac_trackpad-block-2-trial-7-target-6,6,45,500,470,450,1786106006.6713622,1786106007.571272,0.8999305000179447,0
mac_trackpad,2,Hard,8,mac_trackpad-block-2-trial-8-target-2,2,45,500,970,450,1786106007.571439,1786106008.687826,1.1164104579947889,0
mac_trackpad,2,Hard,9,mac_trackpad-block-2-trial-9-target-6,6,45,500,470,450,1786106008.688001,1786106009.6545842,0.9666035000118427,0
mac_trackpad,2,Hard,10,mac_trackpad-block-2-trial-10-target-2,2,45,500,970,450,1786106009.65476,1786106010.621183,0.966443834011443,0
mac_trackpad,2,Hard,11,mac_trackpad-block-2-trial-11-target-6,6,45,500,470,450,1786106010.621341,1786106011.471243,0.8499197090277448,0
mac_trackpad,2,Hard,12,mac_trackpad-block-2-trial-12-target-2,2,45,500,970,450,1786106011.471415,1786106012.387838,0.9164430840173736,0
mac_trackpad,2,Hard,13,mac_trackpad-block-2-trial-13-target-6,6,45,500,470,450,1786106012.387989,1786106013.4048572,1.0168892910005525,0
mac_trackpad,2,Hard,14,mac_trackpad-block-2-trial-14-target-2,2,45,500,970,450,1786106013.405005,1786106014.404654,0.9996704169898294,0
mac_trackpad,2,Hard,15,mac_trackpad-block-2-trial-15-target-6,6,45,500,470,450,1786106014.404804,1786106015.37133,0.9665476669906639,0
mac_trackpad,2,Hard,16,mac_trackpad-block-2-trial-16-target-2,2,45,500,970,450,1786106015.371477,1786106016.4546938,1.0832393749733455,0
mac_trackpad,3,Medium,1,mac_trackpad-block-3-trial-1-target-4,4,60,400,720,650,1786106016.454885,1786106017.521462,1.0665999160264619,0
mac_trackpad,3,Medium,2,mac_trackpad-block-3-trial-2-target-0,0,60,400,720,250,1786106017.521653,1786106018.37134,0.8497052089660428,0
mac_trackpad,3,Medium,3,mac_trackpad-block-3-trial-3-target-4,4,60,400,720,650,1786106018.371488,1786106019.2379782,0.866508791979868,0
mac_trackpad,3,Medium,4,mac_trackpad-block-3-trial-4-target-0,0,60,400,720,250,1786106019.2381282,1786106020.1381388,0.9000305000226945,0
mac_trackpad,3,Medium,5,mac_trackpad-block-3-trial-5-target-4,4,60,400,720,650,1786106020.138317,1786106021.038056,0.8997579169808887,0
mac_trackpad,3,Medium,6,mac_trackpad-block-3-trial-6-target-0,0,60,400,720,250,1786106021.038212,1786106021.871383,0.8331887920503505,0
mac_trackpad,3,Medium,7,mac_trackpad-block-3-trial-7-target-4,4,60,400,720,650,1786106021.871556,1786106022.688371,0.8168317910167389,0
mac_trackpad,3,Medium,8,mac_trackpad-block-3-trial-8-target-0,0,60,400,720,250,1786106022.6885471,1786106023.504651,0.8161210840335116,0
mac_trackpad,3,Medium,9,mac_trackpad-block-3-trial-9-target-4,4,60,400,720,650,1786106023.504798,1786106024.438059,0.9332817919785157,0
mac_trackpad,3,Medium,10,mac_trackpad-block-3-trial-10-target-0,0,60,400,720,250,1786106024.4382248,1786106025.27124,0.8330326249706559,0
mac_trackpad,3,Medium,11,mac_trackpad-block-3-trial-11-target-4,4,60,400,720,650,1786106025.271401,1786106026.204631,0.9332507079816423,0
mac_trackpad,3,Medium,12,mac_trackpad-block-3-trial-12-target-0,0,60,400,720,250,1786106026.20478,1786106027.688236,1.4834881669958122,0
mac_trackpad,3,Medium,13,mac_trackpad-block-3-trial-13-target-4,4,60,400,720,650,1786106027.6884139,1786106028.604446,0.9160527079948224,0
