participant_id,block_number,difficulty,trial_number,target_id,target_index,target_width,target_distance,target_center_x,target_center_y,trial_start,trial_end,movement_time_s,misses_before_success
shimul-01,1,Medium,1,shimul-01-block-1-trial-1-target-1,1,60,400,861,309,1789742657.1760151,1789742658.701674,1.5256867919961223,0
shimul-01,1,Medium,2,shimul-01-block-1-trial-2-target-5,5,60,400,579,591,1789742658.702081,1789742659.510116,0.8080501670046942,0
shimul-01,1,Medium,3,shimul-01-block-1-trial-3-target-1,1,60,400,861,309,1789742659.510355,1789742660.358762,0.8484231249894947,0
shimul-01,1,Medium,4,shimul-01-block-1-trial-4-target-5,5,60,400,579,591,1789742660.359062,1789742661.159693,0.8006456669972977,0
shimul-01,1,Medium,5,shimul-01-block-1-trial-5-target-1,1,60,400,861,309,1789742661.159799,1789742661.829589,0.6698039579932811,0
shimul-01,1,Medium,6,shimul-01-block-1-trial-6-target-5,5,60,400,579,591,1789742661.82987,1789742662.586539,0.7566839999926742,0
shimul-01,1,Medium,7,shimul-01-block-1-trial-7-target-1,1,60,400,861,309,1789742662.5869088,1789742663.1422222,0.5553229999932228,0
shimul-01,1,Medium,8,shimul-01-block-1-trial-8-target-5,5,60,400,579,591,1789742663.142507,1789742663.8317509,0.6892574579978827,0
shimul-01,1,Medium,9,shimul-01-block-1-trial-9-target-1,1,60,400,861,309,1789742663.8320808,1789742664.431359,0.5992896249954356,0
shimul-01,1,Medium,10,shimul-01-block-1-trial-10-target-5,5,60,400,579,591,1789742664.431608,1789742665.202803,0.7712089999986347,0
shimul-01,1,Medium,11,shimul-01-block-1-trial-11-target-1,1,60,400,861,309,1789742665.203061,1789742665.961401,0.7583545840025181,0
shimul-01,1,Medium,12,shimul-01-block-1-trial-12-target-5,5,60,400,579,591,1789742665.96173,1789742666.756253,0.794537957990542,0
shimul-01,1,Medium,13,shimul-01-block-1-trial-13-target-1,1,60,400,861,309,1789742666.756541,1789742667.551954,0.7954276249947725,0
shimul-01,1,Medium,14,shimul-01-block-1-trial-14-target-5,5,60,400,579,591,1789742667.552266,1789742668.218956,0.6667029170057504,0
shimul-01,1,Medium,15,shimul-01-block-1-trial-15-target-1,1,60,400,861,309,1789742668.2192261,1789742668.924573,0.7053604579996318,0
shimul-01,1,Medium,16,shimul-01-block-1-trial-16-target-5,5,60,400,579,591,1789742668.924903,1789742669.7484632,0.8235759579984006,0
shimul-01,2,Easy,1,shimul-01-block-2-trial-1-target-6,6,75,300,570,450,1789742669.7489762,1789742670.836461,1.0875050000031479,0
shimul-01,2,Easy,2,shimul-01-block-2-trial-2-target-2,2,75,300,870,450,1789742670.8368661,1789742671.48089,0.6440369159972761,0
shimul-01,2,Easy,3,shimul-01-block-2-trial-3-target-6,6,75,300,570,450,1789742671.481152,1789742672.088741,0.6076006249932107,0
shimul-01,2,Easy,4,shimul-01-block-2-trial-4-target-2,2,75,300,870,450,1789742672.089039,1789742672.597504,0.508474791990011,0
shimul-01,2,Easy,5,shimul-01-block-2-trial-5-target-6,6,75,300,570,450,1789742672.597749,1789742673.566571,0.9688412500108825,0
shimul-01,2,Easy,6,shimul-01-block-2-trial-6-target-2,2,75,300,870,450,1789742673.567007,1789742674.135015,0.5680178329930641,0
shimul-01,2,Easy,7,shimul-01-block-2-trial-7-target-6,6,75,300,570,450,1789742674.1351511,1789742674.901501,0.7663647080044029,0
shimul-01,2,Easy,8,shimul-01-block-2-trial-8-target-2,2,75,300,870,450,1789742674.9017751,1789742675.628195,0.7264336250082124,0
shimul-01,2,Easy,9,shimul-01-block-2-trial-9-target-6,6,75,300,570,450,1789742675.6284091,1789742676.506641,0.8782488749857293,0
shimul-01,2,Easy,10,shimul-01-block-2-trial-10-target-2,2,75,300,870,450,1789742676.5069702,1789742677.3910432,0.8840904589887941,0
shimul-01,2,Easy,11,shimul-01-block-2-trial-11-target-6,6,75,300,570,450,1789742677.391329,1789742678.065483,0.6741663749999134,0
shimul-01,2,Easy,12,shimul-01-block-2-trial-12-target-2,2,75,300,870,450,1789742678.065705,1789742678.642268,0.5765748750127386,0
shimul-01,2,Easy,13,shimul-01-block-2-trial-13-target-6,6,75,300,570,450,1789742678.642438,1789742679.2140758,0.5716487080062507,0
shimul-01,2,Easy,14,shimul-01-block-2-trial-14-target-2,2,75,300,870,450,1789742679.214369,1789742679.978119,0.7637643329944694,0
shimul-01,2,Easy,15,shimul-01-block-2-trial-15-target-6,6,75,300,570,450,1789742679.9783611,1789742680.856989,0.8786454590008361,0
shimul-01,2,Easy,16,shimul-01-block-2-trial-16-target-2,2,75,300,870,450,1789742680.857286,1789742681.403881,0.5466052080009831,0
shimul-01,3,Hard,1,shimul-01-block-3-trial-1-target-7,7,45,500,543,273,1789742681.404268,1789742682.594814,1.1905669169937028,0
shimul-01,3,Hard,2,shimul-01-block-3-trial-2-target-3,3,45,500,897,627,1789742682.5949051,1789742683.84048,1.2455988750007236,0
shimul-01,3,Hard,3,shimul-01-block-3-trial-3-target-7,7,45,500,543,273,1789742683.8407638,1789742685.1389592,1.298219832999166,0
shimul-01,3,Hard,4,shimul-01-block-3-trial-4-target-3,3,45,500,897,627,1789742685.139387,1789742686.4732218,1.3338639159919694,0
shimul-01,3,Hard,5,shimul-01-block-3-trial-5-target-7,7,45,500,543,273,1789742686.473547,1789742687.485887,1.0123590000002878,0
shimul-01,3,Hard,6,shimul-01-block-3-trial-6-target-3,3,45,500,897,627,1789742687.486224,1789742688.3112252,0.8250172499974724,0
shimul-01,3,Hard,7,shimul-01-block-3-trial-7-target-7,7,45,500,543,273,1789742688.311525,1789742689.4429,1.1313961669948185,0
shimul-01,3,Hard,8,shimul-01-block-3-trial-8-target-3,3,45,500,897,627,1789742689.443188,1789742690.532044,1.088876124995295,0
shimul-01,3,Hard,9,shimul-01-block-3-trial-9-target-7,7,45,500,543,273,1789742690.532385,1789742691.476234,0.943867334004608,0
shimul-01,3,Hard,10,shimul-01-block-3-trial-10-target-3,3,45,500,897,627,1789742691.4765902,1789742692.4046001,0.9280266670102719,0
shimul-01,3,Hard,11,shimul-01-block-3-trial-11-target-7,7,45,500,543,273,1789742692.404928,1789742693.3660748,0.961164666005061,0
shimul-01,3,Hard,12,shimul-01-block-3-trial-12-target-3,3,45,500,897,627,1789742693.366349,1789742694.265766,0.8994335419993149,0
shimul-01,3,Hard,13,shimul-01-block-3-trial-13-target-7,7,45,500,543,273,1789742694.2660139,1789742695.166358,0.900360665997141,0
shimul-01,3,Hard,14,shimul-01-block-3-trial-14-target-3,3,45,500,897,627,1789742695.166773,1789742696.342599,1.1758471659995848,0
shimul-01,3,Hard,15,shimul-01-block-3-trial-15-target-7,7,45,500,543,273,1789742696.3427079,1789742697.3944352,1.0517482080031186,0
shimul-01,3,Hard,16,shimul-01-block-3-trial-16-target-3,3,45,500,897,627,1789742697.394835,1789742698.271462,0.8766432919946965,0
